log2FoldChange	SYMBOL	GENENAME	baseMean	padj	Row.names
-0.04252735940786511	TSPAN6	tetraspanin 6	660.9430037542279	0.8519853689017691	ENSG00000000003
-0.14937196866592076	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic	1267.8128116961284	0.18052354345021365	ENSG00000000419
0.0320743977200582	SCYL3	SCY1 like pseudokinase 3	237.2486924738037	0.9358252864245195	ENSG00000000457
-0.23997218099128978	C1orf112	chromosome 1 open reading frame 112	339.01847180554705	0.20540920183988587	ENSG00000000460
-0.3500703992867513	CFH	complement factor H	90.28123495943511	0.3220556682797635	ENSG00000000971
-0.014740314583088913	FUCA2	alpha-L-fucosidase 2	1616.0271242126773	0.9385855668655715	ENSG00000001036
-0.191265638467922	GCLC	glutamate-cysteine ligase catalytic subunit	1544.6120117003748	0.029155150734352507	ENSG00000001084
-0.20372530463702906	NFYA	nuclear transcription factor Y subunit alpha	1841.8292584433736	0.00887509027507269	ENSG00000001167
0.2538513071653176	STPG1	sperm tail PG-rich repeat containing 1	97.2288068313033	0.5058169736417155	ENSG00000001460
0.06831743081517169	NIPAL3	NIPA like domain containing 3	809.1312749204085	0.7441676031479487	ENSG00000001461
0.07045390366125916	LAS1L	LAS1 like ribosome biogenesis factor	1418.707956941341	0.6132550612885063	ENSG00000001497
-0.24266281592338357	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4	1156.6622070952749	0.02160802955356828	ENSG00000001561
0.04949746463111511	SEMA3F	semaphorin 3F	31.461177636322844	0.9633182957291376	ENSG00000001617
-0.03719519862346771	ANKIB1	ankyrin repeat and IBR domain containing 1	1758.198912031315	0.8281826097040499	ENSG00000001629
-0.4531561074955046	CYP51A1	cytochrome P450 family 51 subfamily A member 1	67.87808972848146	0.25997336547351085	ENSG00000001630
-0.2998691673268655	KRIT1	KRIT1 ankyrin repeat containing	223.9564122973685	0.12918486048121833	ENSG00000001631
0.1275807610356001	RAD52	RAD52 homolog, DNA repair protein	201.6792516297424	0.7046444112671133	ENSG00000002016
-0.17053338206276336	BAD	BCL2 associated agonist of cell death	334.2849267707637	0.38472612786589133	ENSG00000002330
-0.12241969914458976	LAP3	leucine aminopeptidase 3	2366.0636082022966	0.16632699385326855	ENSG00000002549
-0.025097125167330942	CD99	CD99 molecule (Xg blood group)	3292.0675750501223	0.8992498132930492	ENSG00000002586
-0.009152611642900644	AOC1	amine oxidase copper containing 1	73.53454516113172	0.9912156937304873	ENSG00000002726
0.19842953121363877	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	1979.371702144677	0.01247765874807205	ENSG00000002746
0.12673549756821084	MAD1L1	mitotic arrest deficient 1 like 1	43.15698072237493	0.895166553340686	ENSG00000002822
-0.04014717040685079	LASP1	LIM and SH3 protein 1	6621.744837258838	0.7329436060850375	ENSG00000002834
0.12577976317520417	SNX11	sorting nexin 11	745.5892167652303	0.396484850860006	ENSG00000002919
0.6120593816353264	TMEM176A	transmembrane protein 176A	120.43870286309054	0.0101611708421377	ENSG00000002933
-0.013429708957859655	M6PR	mannose-6-phosphate receptor, cation dependent	3136.0852201757825	0.9385855668655715	ENSG00000003056
-0.1818111666029509	KLHL13	kelch like family member 13	288.11620960746365	0.4440964326425171	ENSG00000003096
-0.755258832802014	CYP26B1	cytochrome P450 family 26 subfamily B member 1	38.070951257160246	0.10217227769328789	ENSG00000003137
0.33799539347928187	ICA1	islet cell autoantigen 1	361.41461404146276	0.022227562906120157	ENSG00000003147
-0.3916545977132603	DBNDD1	dysbindin domain containing 1	439.2089907833838	0.002298800861768842	ENSG00000003249
-0.01515732899847498	ALS2	alsin Rho guanine nucleotide exchange factor ALS2	1399.428008989994	0.9440938919473615	ENSG00000003393
-0.07907040349527807	CASP10	caspase 10	23.00757711854154	0.9498163661398853	ENSG00000003400
0.18632540996559935	CFLAR	CASP8 and FADD like apoptosis regulator	1251.8185050944082	0.05881596326314488	ENSG00000003402
-0.18835358122308674	TFPI	tissue factor pathway inhibitor	237.79812584733395	0.5223417765170563	ENSG00000003436
-0.1309623825932431	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7	332.5892411346482	0.5875588480415573	ENSG00000003509
-0.010671724103898033	RBM5	RNA binding motif protein 5	1164.9179101113978	0.9633182957291376	ENSG00000003756
-0.45049789861430073	MTMR7	myotubularin related protein 7	31.657437483522756	0.5037993223401656	ENSG00000003987
-0.4077493670918844	SLC7A2	solute carrier family 7 member 2	354.75162083934106	0.004867518398763714	ENSG00000003989
0.00837571146376425	ARF5	ADP ribosylation factor 5	1417.2700298164887	0.9668974358107916	ENSG00000004059
-0.06706302268519776	SARM1	sterile alpha and TIR motif containing 1	177.1328513300666	0.8740319179340356	ENSG00000004139
-0.10808202821602296	POLDIP2	DNA polymerase delta interacting protein 2	2282.243877797925	0.26063325690298744	ENSG00000004142
0.19075328613311235	PLXND1	plexin D1	650.5244703850053	0.1612052881892519	ENSG00000004399
0.13480677648739745	AK2	adenylate kinase 2	1665.4700024492647	0.20715625748933092	ENSG00000004455
0.03287486812398141	FKBP4	FKBP prolyl isomerase 4	5476.995659190597	0.7908646686197432	ENSG00000004478
-3.436418044439343e-4	KDM1A	lysine demethylase 1A	1845.4399150476008	0.9990175961483788	ENSG00000004487
-0.07379523645736505	RBM6	RNA binding motif protein 6	955.1731549283386	0.6870002102315015	ENSG00000004534
0.20823954387716923	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1	135.95160974413585	0.5274583533474426	ENSG00000004660
0.050364915505110554	RECQL	RecQ like helicase	1650.5463799773324	0.7541105060352067	ENSG00000004700
-0.07510699929336537	VPS50	VPS50 subunit of EARP/GARPII complex	432.38476069897206	0.7602543930291414	ENSG00000004766
-0.23759320246154972	ARHGAP33	Rho GTPase activating protein 33	93.15946648672988	0.5886003919519627	ENSG00000004777
-0.15087375276885126	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1	1388.922024206195	0.13282233403583682	ENSG00000004779
-0.12734958355968717	PDK4	pyruvate dehydrogenase kinase 4	247.40403453196265	0.7074073594106849	ENSG00000004799
-0.17423008932365994	SLC25A13	solute carrier family 25 member 13	1197.760871728721	0.08997905396643857	ENSG00000004864
-0.12447457594215902	ST7	suppression of tumorigenicity 7	545.6166276863935	0.5019546397033345	ENSG00000004866
-0.12447457594215902	ST7-OT3	ST7 overlapping transcript 3	545.6166276863935	0.5019546397033345	ENSG00000004866
-0.08256913992642344	CDC27	cell division cycle 27	3296.960340936303	0.3861017473752849	ENSG00000004897
0.07497548907437654	HCCS	holocytochrome c synthase	1688.1228605515453	0.5426322556511641	ENSG00000004961
-0.20257346679100025	DVL2	dishevelled segment polarity protein 2	964.2025210944407	0.09422166025316496	ENSG00000004975
0.0843308644816076	UPF1	UPF1 RNA helicase and ATPase	2481.6194441830394	0.5066197691041006	ENSG00000005007
-0.050256851243344176	SKAP2	src kinase associated phosphoprotein 2	2613.6844649028253	0.7481160369776811	ENSG00000005020
-0.0690736875647715	SLC25A5	solute carrier family 25 member 5	8665.651204566062	0.4698007971015524	ENSG00000005022
-0.08953469520223369	MCUB	mitochondrial calcium uniporter dominant negative beta subunit	328.61736475490005	0.7826923378933297	ENSG00000005059
0.006470714091688236	POLR2J	RNA polymerase II subunit J	372.9786377828035	0.9874075465110798	ENSG00000005075
0.1286205165550647	DHX33	DEAH-box helicase 33	829.7377412569496	0.3759177354111843	ENSG00000005100
-0.22413147574838635	MEOX1	mesenchyme homeobox 1	24.130690302641636	0.8393305228697555	ENSG00000005102
-0.8559668699477279	THSD7A	thrombospondin type 1 domain containing 7A	617.0112301624172	1.4804439584897015e-4	ENSG00000005108
0.03464755363269452	LIG3	DNA ligase 3	1277.753157856048	0.8742136517008416	ENSG00000005156
-0.07373277180625264	RPAP3	RNA polymerase II associated protein 3	2464.5418871269803	0.5315009730220567	ENSG00000005175
0.009864380979692954	ACSM3	acyl-CoA synthetase medium chain family member 3	267.77363685672753	0.9838187355901655	ENSG00000005187
